연도,월,채널,대분류,중분류,금액
2022,01,신채널,종신,일반종신,0.2
2022,02,AFC,건강,순수형,0.4
2022,02,AFC,건강,특화형,0.1
2022,02,AFC,건강,환급형,0.3
2022,02,AFC,연금저축,연금/저축,0.9
2022,02,AFC,종신,목적종신,0.7
2022,02,AFC,종신,일반종신,0.2
2022,02,BA,건강,순수형,0.0
2022,02,BA,건강,특화형,0.0
2022,02,BA,건강,환급형,0.0
2022,02,BA,연금저축,연금/저축,23.2
2022,02,BA,종신,목적종신,0.0
2022,02,BA,종신,일반종신,0.0
2022,02,FC,건강,순수형,20.3
2022,02,FC,건강,특화형,3.1
2022,02,FC,건강,환급형,14.3
2022,02,FC,연금저축,연금/저축,1.9
2022,02,FC,종신,목적종신,31.5
2022,02,FC,종신,일반종신,11.0
2022,02,GA,건강,순수형,4.3
2022,02,GA,건강,특화형,0.7
2022,02,GA,건강,환급형,3.1
2022,02,GA,연금저축,연금/저축,1.9
2022,02,GA,종신,목적종신,6.7
2022,02,GA,종신,일반종신,2.4
2022,02,GFC,건강,순수형,4.1
2022,02,GFC,건강,특화형,0.6
2022,02,GFC,건강,환급형,2.9
2022,02,GFC,연금저축,연금/저축,1.9
2022,02,GFC,종신,목적종신,6.3
2022,02,GFC,종신,일반종신,2.2
2022,02,금융서비스,건강,순수형,0.9
2022,02,금융서비스,건강,특화형,0.1
2022,02,금융서비스,건강,환급형,0.6
2022,02,금융서비스,연금저축,연금/저축,1.9
2022,02,금융서비스,종신,목적종신,1.3
2022,02,금융서비스,종신,일반종신,0.5
2022,02,디지털,건강,순수형,0.2
2022,02,디지털,건강,특화형,0.0
2022,02,디지털,건강,환급형,0.1
2022,02,디지털,연금저축,연금/저축,4.6
2022,02,디지털,종신,목적종신,0.2
2022,02,디지털,종신,일반종신,0.1
2022,02,신채널,건강,순수형,0.4
2022,02,신채널,건강,특화형,0.0
2022,02,신채널,건강,환급형,0.2
2022,02,신채널,연금저축,연금/저축,0.8
2022,02,신채널,종신,목적종신,0.7
2022,02,신채널,종신,일반종신,0.2
2022,03,AFC,건강,순수형,0.5
2022,03,AFC,건강,특화형,0.1
2022,03,AFC,건강,환급형,0.3
2022,03,AFC,연금저축,연금/저축,1.0
2022,03,AFC,종신,목적종신,0.8
2022,03,AFC,종신,일반종신,0.3
2022,03,BA,건강,순수형,0.0
2022,03,BA,건강,특화형,0.0
2022,03,BA,건강,환급형,0.0
2022,03,BA,연금저축,연금/저축,25.5
2022,03,BA,종신,목적종신,0.0
2022,03,BA,종신,일반종신,0.0
2022,03,FC,건강,순수형,21.4
2022,03,FC,건강,특화형,3.2
2022,03,FC,건강,환급형,15.1
2022,03,FC,연금저축,연금/저축,2.0
2022,03,FC,종신,목적종신,35.9
2022,03,FC,종신,일반종신,12.6
2022,03,GA,건강,순수형,4.6
2022,03,GA,건강,특화형,0.7
2022,03,GA,건강,환급형,3.2
2022,03,GA,연금저축,연금/저축,2.0
2022,03,GA,종신,목적종신,7.7
2022,03,GA,종신,일반종신,2.7
2022,03,GFC,건강,순수형,4.3
2022,03,GFC,건강,특화형,0.6
2022,03,GFC,건강,환급형,3.0
2022,03,GFC,연금저축,연금/저축,2.0
2022,03,GFC,종신,목적종신,7.2
2022,03,GFC,종신,일반종신,2.5
2022,03,금융서비스,건강,순수형,0.9
2022,03,금융서비스,건강,특화형,0.1
2022,03,금융서비스,건강,환급형,0.6
2022,03,금융서비스,연금저축,연금/저축,2.0
2022,03,금융서비스,종신,목적종신,1.5
2022,03,금융서비스,종신,일반종신,0.5
2022,03,디지털,건강,순수형,0.2
2022,03,디지털,건강,특화형,0.0
2022,03,디지털,건강,환급형,0.1
2022,03,디지털,연금저축,연금/저축,5.1
2022,03,디지털,종신,목적종신,0.3
2022,03,디지털,종신,일반종신,0.1
2022,03,신채널,건강,순수형,0.3
2022,03,신채널,건강,특화형,0.1
2022,03,신채널,건강,환급형,0.4
2022,03,신채널,연금저축,연금/저축,1.2
2022,03,신채널,종신,목적종신,0.6
2022,03,신채널,종신,일반종신,0.3
2022,04,AFC,건강,순수형,0.5
2022,04,AFC,건강,특화형,0.1
2022,04,AFC,건강,환급형,0.3
2022,04,AFC,연금저축,연금/저축,1.0
2022,04,AFC,종신,목적종신,0.8
2022,04,AFC,종신,일반종신,0.3
2022,04,BA,건강,순수형,0.0
2022,04,BA,건강,특화형,0.0
2022,04,BA,건강,환급형,0.0
2022,04,BA,연금저축,연금/저축,25.6
2022,04,BA,종신,목적종신,0.0
2022,04,BA,종신,일반종신,0.0
2022,04,FC,건강,순수형,21.7
2022,04,FC,건강,특화형,3.3
2022,04,FC,건강,환급형,15.3
2022,04,FC,연금저축,연금/저축,2.1
2022,04,FC,종신,목적종신,35.7
2022,04,FC,종신,일반종신,12.5
2022,04,GA,건강,순수형,4.6
2022,04,GA,건강,특화형,0.7
2022,04,GA,건강,환급형,3.3
2022,04,GA,연금저축,연금/저축,2.1
2022,04,GA,종신,목적종신,7.6
2022,04,GA,종신,일반종신,2.7
2022,04,GFC,건강,순수형,4.3
2022,04,GFC,건강,특화형,0.7
2022,04,GFC,건강,환급형,3.1
2022,04,GFC,연금저축,연금/저축,2.1
2022,04,GFC,종신,목적종신,7.1
2022,04,GFC,종신,일반종신,2.5
2022,04,금융서비스,건강,순수형,0.9
2022,04,금융서비스,건강,특화형,0.1
2022,04,금융서비스,건강,환급형,0.6
2022,04,금융서비스,연금저축,연금/저축,2.1
2022,04,금융서비스,종신,목적종신,1.5
2022,04,금융서비스,종신,일반종신,0.5
2022,04,디지털,건강,순수형,0.2
2022,04,디지털,건강,특화형,0.0
2022,04,디지털,건강,환급형,0.1
2022,04,디지털,연금저축,연금/저축,5.1
2022,04,디지털,종신,목적종신,0.3
2022,04,디지털,종신,일반종신,0.1
2022,04,신채널,건강,순수형,0.5
2022,04,신채널,건강,특화형,0.0
2022,04,신채널,건강,환급형,0.3
2022,04,신채널,연금저축,연금/저축,0.9
2022,04,신채널,종신,목적종신,0.7
2022,04,신채널,종신,일반종신,0.3
2022,05,AFC,건강,순수형,0.5
2022,05,AFC,건강,특화형,0.1
2022,05,AFC,건강,환급형,0.3
2022,05,AFC,연금저축,연금/저축,1.0
2022,05,AFC,종신,목적종신,0.7
2022,05,AFC,종신,일반종신,0.3
2022,05,BA,건강,순수형,0.0
2022,05,BA,건강,특화형,0.0
2022,05,BA,건강,환급형,0.0
2022,05,BA,연금저축,연금/저축,25.2
2022,05,BA,종신,목적종신,0.0
2022,05,BA,종신,일반종신,0.0
2022,05,FC,건강,순수형,21.6
2022,05,FC,건강,특화형,3.2
2022,05,FC,건강,환급형,15.2
2022,05,FC,연금저축,연금/저축,2.0
2022,05,FC,종신,목적종신,34.7
2022,05,FC,종신,일반종신,12.2
2022,05,GA,건강,순수형,4.6
2022,05,GA,건강,특화형,0.7
2022,05,GA,건강,환급형,3.3
2022,05,GA,연금저축,연금/저축,2.0
2022,05,GA,종신,목적종신,7.4
2022,05,GA,종신,일반종신,2.6
2022,05,GFC,건강,순수형,4.3
2022,05,GFC,건강,특화형,0.6
2022,05,GFC,건강,환급형,3.0
2022,05,GFC,연금저축,연금/저축,2.0
2022,05,GFC,종신,목적종신,7.0
2022,05,GFC,종신,일반종신,2.4
2022,05,금융서비스,건강,순수형,0.9
2022,05,금융서비스,건강,특화형,0.1
2022,05,금융서비스,건강,환급형,0.6
2022,05,금융서비스,연금저축,연금/저축,2.0
2022,05,금융서비스,종신,목적종신,1.5
2022,05,금융서비스,종신,일반종신,0.5
2022,05,디지털,건강,순수형,0.2
2022,05,디지털,건강,특화형,0.0
2022,05,디지털,건강,환급형,0.1
2022,05,디지털,연금저축,연금/저축,5.0
2022,05,디지털,종신,목적종신,0.3
2022,05,디지털,종신,일반종신,0.1
2022,05,신채널,건강,순수형,0.4
2022,05,신채널,건강,특화형,0.1
2022,05,신채널,건강,환급형,0.4
2022,05,신채널,연금저축,연금/저축,1.1
2022,05,신채널,종신,목적종신,0.7
2022,05,신채널,종신,일반종신,0.3
2022,06,AFC,건강,순수형,0.4
2022,06,AFC,건강,특화형,0.1
2022,06,AFC,건강,환급형,0.3
2022,06,AFC,연금저축,연금/저축,1.0
2022,06,AFC,종신,목적종신,0.7
2022,06,AFC,종신,일반종신,0.2
2022,06,BA,건강,순수형,0.0
2022,06,BA,건강,특화형,0.0
2022,06,BA,건강,환급형,0.0
2022,06,BA,연금저축,연금/저축,24.2
2022,06,BA,종신,목적종신,0.0
2022,06,BA,종신,일반종신,0.0
2022,06,FC,건강,순수형,21.0
2022,06,FC,건강,특화형,3.1
2022,06,FC,건강,환급형,14.8
2022,06,FC,연금저축,연금/저축,1.9
2022,06,FC,종신,목적종신,33.2
2022,06,FC,종신,일반종신,11.6
2022,06,GA,건강,순수형,4.5
2022,06,GA,건강,특화형,0.7
2022,06,GA,건강,환급형,3.2
2022,06,GA,연금저축,연금/저축,1.9
2022,06,GA,종신,목적종신,7.1
2022,06,GA,종신,일반종신,2.5
2022,06,GFC,건강,순수형,4.2
2022,06,GFC,건강,특화형,0.6
2022,06,GFC,건강,환급형,3.0
2022,06,GFC,연금저축,연금/저축,1.9
2022,06,GFC,종신,목적종신,6.7
2022,06,GFC,종신,일반종신,2.3
2022,06,금융서비스,건강,순수형,0.9
2022,06,금융서비스,건강,특화형,0.1
2022,06,금융서비스,건강,환급형,0.6
2022,06,금융서비스,연금저축,연금/저축,1.9
2022,06,금융서비스,종신,목적종신,1.4
2022,06,금융서비스,종신,일반종신,0.5
2022,06,디지털,건강,순수형,0.2
2022,06,디지털,건강,특화형,0.0
2022,06,디지털,건강,환급형,0.1
2022,06,디지털,연금저축,연금/저축,4.8
2022,06,디지털,종신,목적종신,0.2
2022,06,디지털,종신,일반종신,0.1
2022,06,신채널,건강,순수형,0.5
2022,06,신채널,건강,특화형,0.1
2022,06,신채널,건강,환급형,0.3
2022,06,신채널,연금저축,연금/저축,1.2
2022,06,신채널,종신,목적종신,0.7
2022,06,신채널,종신,일반종신,0.3
2022,07,AFC,건강,순수형,0.4
2022,07,AFC,건강,특화형,0.1
2022,07,AFC,건강,환급형,0.3
2022,07,AFC,연금저축,연금/저축,1.0
2022,07,AFC,종신,목적종신,0.7
2022,07,AFC,종신,일반종신,0.2
2022,07,BA,건강,순수형,0.0
2022,07,BA,건강,특화형,0.0
2022,07,BA,건강,환급형,0.0
2022,07,BA,연금저축,연금/저축,24.3
2022,07,BA,종신,목적종신,0.0
2022,07,BA,종신,일반종신,0.0
2022,07,FC,건강,순수형,21.3
2022,07,FC,건강,특화형,3.1
2022,07,FC,건강,환급형,15.0
2022,07,FC,연금저축,연금/저축,1.9
2022,07,FC,종신,목적종신,32.9
2022,07,FC,종신,일반종신,11.6
2022,07,GA,건강,순수형,4.6
2022,07,GA,건강,특화형,0.7
2022,07,GA,건강,환급형,3.2
2022,07,GA,연금저축,연금/저축,1.9
2022,07,GA,종신,목적종신,7.0
2022,07,GA,종신,일반종신,2.5
2022,07,GFC,건강,순수형,4.3
2022,07,GFC,건강,특화형,0.6
2022,07,GFC,건강,환급형,3.0
2022,07,GFC,연금저축,연금/저축,1.9
2022,07,GFC,종신,목적종신,6.6
2022,07,GFC,종신,일반종신,2.3
2022,07,금융서비스,건강,순수형,0.9
2022,07,금융서비스,건강,특화형,0.1
2022,07,금융서비스,건강,환급형,0.6
2022,07,금융서비스,연금저축,연금/저축,1.9
2022,07,금융서비스,종신,목적종신,1.4
2022,07,금융서비스,종신,일반종신,0.5
2022,07,디지털,건강,순수형,0.2
2022,07,디지털,건강,특화형,0.0
2022,07,디지털,건강,환급형,0.1
2022,07,디지털,연금저축,연금/저축,4.9
2022,07,디지털,종신,목적종신,0.2
2022,07,디지털,종신,일반종신,0.1
2022,07,신채널,건강,순수형,0.4
2022,07,신채널,건강,특화형,0.1
2022,07,신채널,건강,환급형,0.4
2022,07,신채널,연금저축,연금/저축,1.1
2022,07,신채널,종신,목적종신,0.8
2022,07,신채널,종신,일반종신,0.2
2022,08,AFC,건강,순수형,0.4
2022,08,AFC,건강,특화형,0.1
2022,08,AFC,건강,환급형,0.3
2022,08,AFC,연금저축,연금/저축,0.9
2022,08,AFC,종신,목적종신,0.7
2022,08,AFC,종신,일반종신,0.2
2022,08,BA,건강,순수형,0.0
2022,08,BA,건강,특화형,0.0
2022,08,BA,건강,환급형,0.0
2022,08,BA,연금저축,연금/저축,23.4
2022,08,BA,종신,목적종신,0.0
2022,08,BA,종신,일반종신,0.0
2022,08,FC,건강,순수형,19.7
2022,08,FC,건강,특화형,2.9
2022,08,FC,건강,환급형,13.9
2022,08,FC,연금저축,연금/저축,1.9
2022,08,FC,종신,목적종신,32.9
2022,08,FC,종신,일반종신,11.6
2022,08,GA,건강,순수형,4.2
2022,08,GA,건강,특화형,0.6
2022,08,GA,건강,환급형,3.0
2022,08,GA,연금저축,연금/저축,1.9
2022,08,GA,종신,목적종신,7.0
2022,08,GA,종신,일반종신,2.5
2022,08,GFC,건강,순수형,3.9
2022,08,GFC,건강,특화형,0.6
2022,08,GFC,건강,환급형,2.8
2022,08,GFC,연금저축,연금/저축,1.9
2022,08,GFC,종신,목적종신,6.6
2022,08,GFC,종신,일반종신,2.3
2022,08,금융서비스,건강,순수형,0.8
2022,08,금융서비스,건강,특화형,0.1
2022,08,금융서비스,건강,환급형,0.6
2022,08,금융서비스,연금저축,연금/저축,1.9
2022,08,금융서비스,종신,목적종신,1.4
2022,08,금융서비스,종신,일반종신,0.5
2022,08,디지털,건강,순수형,0.1
2022,08,디지털,건강,특화형,0.0
2022,08,디지털,건강,환급형,0.1
2022,08,디지털,연금저축,연금/저축,4.7
2022,08,디지털,종신,목적종신,0.2
2022,08,디지털,종신,일반종신,0.1
2022,08,신채널,건강,순수형,0.5
2022,08,신채널,건강,특화형,0.1
2022,08,신채널,건강,환급형,0.2
2022,08,신채널,연금저축,연금/저축,0.9
2022,08,신채널,종신,목적종신,0.8
2022,08,신채널,종신,일반종신,0.2
2022,09,AFC,건강,순수형,0.4
2022,09,AFC,건강,특화형,0.1
2022,09,AFC,건강,환급형,0.3
2022,09,AFC,연금저축,연금/저축,1.0
2022,09,AFC,종신,목적종신,0.7
2022,09,AFC,종신,일반종신,0.3
2022,09,BA,건강,순수형,0.0
2022,09,BA,건강,특화형,0.0
2022,09,BA,건강,환급형,0.0
2022,09,BA,연금저축,연금/저축,24.7
2022,09,BA,종신,목적종신,0.0
2022,09,BA,종신,일반종신,0.0
2022,09,FC,건강,순수형,21.0
2022,09,FC,건강,특화형,3.1
2022,09,FC,건강,환급형,14.7
2022,09,FC,연금저축,연금/저축,2.0
2022,09,FC,종신,목적종신,34.4
2022,09,FC,종신,일반종신,12.1
2022,09,GA,건강,순수형,4.5
2022,09,GA,건강,특화형,0.7
2022,09,GA,건강,환급형,3.2
2022,09,GA,연금저축,연금/저축,2.0
2022,09,GA,종신,목적종신,7.4
2022,09,GA,종신,일반종신,2.6
2022,09,GFC,건강,순수형,4.2
2022,09,GFC,건강,특화형,0.6
2022,09,GFC,건강,환급형,3.0
2022,09,GFC,연금저축,연금/저축,2.0
2022,09,GFC,종신,목적종신,6.9
2022,09,GFC,종신,일반종신,2.4
2022,09,금융서비스,건강,순수형,0.9
2022,09,금융서비스,건강,특화형,0.1
2022,09,금융서비스,건강,환급형,0.6
2022,09,금융서비스,연금저축,연금/저축,2.0
2022,09,금융서비스,종신,목적종신,1.5
2022,09,금융서비스,종신,일반종신,0.5
2022,09,디지털,건강,순수형,0.2
2022,09,디지털,건강,특화형,0.0
2022,09,디지털,건강,환급형,0.1
2022,09,디지털,연금저축,연금/저축,4.9
2022,09,디지털,종신,목적종신,0.3
2022,09,디지털,종신,일반종신,0.1
2022,09,신채널,건강,순수형,0.4
2022,09,신채널,건강,특화형,0.1
2022,09,신채널,건강,환급형,0.3
2022,09,신채널,연금저축,연금/저축,0.9
2022,09,신채널,종신,목적종신,0.6
2022,09,신채널,종신,일반종신,0.2
2022,10,AFC,건강,순수형,0.5
2022,10,AFC,건강,특화형,0.1
2022,10,AFC,건강,환급형,0.3
2022,10,AFC,연금저축,연금/저축,1.1
2022,10,AFC,종신,목적종신,0.8
2022,10,AFC,종신,일반종신,0.3
2022,10,BA,건강,순수형,0.0
2022,10,BA,건강,특화형,0.0
2022,10,BA,건강,환급형,0.0
2022,10,BA,연금저축,연금/저축,26.2
2022,10,BA,종신,목적종신,0.0
2022,10,BA,종신,일반종신,0.0
2022,10,FC,건강,순수형,22.5
2022,10,FC,건강,특화형,3.3
2022,10,FC,건강,환급형,15.9
2022,10,FC,연금저축,연금/저축,2.1
2022,10,FC,종신,목적종신,36.3
2022,10,FC,종신,일반종신,12.7
2022,10,GA,건강,순수형,4.8
2022,10,GA,건강,특화형,0.7
2022,10,GA,건강,환급형,3.4
2022,10,GA,연금저축,연금/저축,2.1
2022,10,GA,종신,목적종신,7.8
2022,10,GA,종신,일반종신,2.7
2022,10,GFC,건강,순수형,4.5
2022,10,GFC,건강,특화형,0.7
2022,10,GFC,건강,환급형,3.2
2022,10,GFC,연금저축,연금/저축,2.1
2022,10,GFC,종신,목적종신,7.3
2022,10,GFC,종신,일반종신,2.6
2022,10,금융서비스,건강,순수형,0.9
2022,10,금융서비스,건강,특화형,0.1
2022,10,금융서비스,건강,환급형,0.7
2022,10,금융서비스,연금저축,연금/저축,2.1
2022,10,금융서비스,종신,목적종신,1.5
2022,10,금융서비스,종신,일반종신,0.5
2022,10,디지털,건강,순수형,0.2
2022,10,디지털,건강,특화형,0.0
2022,10,디지털,건강,환급형,0.1
2022,10,디지털,연금저축,연금/저축,5.2
2022,10,디지털,종신,목적종신,0.3
2022,10,디지털,종신,일반종신,0.1
2022,10,신채널,건강,순수형,0.5
2022,10,신채널,건강,특화형,0.1
2022,10,신채널,건강,환급형,0.3
2022,10,신채널,연금저축,연금/저축,1.1
2022,10,신채널,종신,목적종신,0.6
2022,10,신채널,종신,일반종신,0.3
2022,11,AFC,건강,순수형,0.5
2022,11,AFC,건강,특화형,0.1
2022,11,AFC,건강,환급형,0.3
2022,11,AFC,연금저축,연금/저축,1.0
2022,11,AFC,종신,목적종신,0.8
2022,11,AFC,종신,일반종신,0.3
2022,11,BA,건강,순수형,0.0
2022,11,BA,건강,특화형,0.0
2022,11,BA,건강,환급형,0.0
2022,11,BA,연금저축,연금/저축,26.1
2022,11,BA,종신,목적종신,0.0
2022,11,BA,종신,일반종신,0.0
2022,11,FC,건강,순수형,22.6
2022,11,FC,건강,특화형,3.3
2022,11,FC,건강,환급형,15.9
2022,11,FC,연금저축,연금/저축,2.1
2022,11,FC,종신,목적종신,35.7
2022,11,FC,종신,일반종신,12.5
2022,11,GA,건강,순수형,4.8
2022,11,GA,건강,특화형,0.7
2022,11,GA,건강,환급형,3.4
2022,11,GA,연금저축,연금/저축,2.1
2022,11,GA,종신,목적종신,7.6
2022,11,GA,종신,일반종신,2.7
2022,11,GFC,건강,순수형,4.5
2022,11,GFC,건강,특화형,0.7
2022,11,GFC,건강,환급형,3.2
2022,11,GFC,연금저축,연금/저축,2.1
2022,11,GFC,종신,목적종신,7.2
2022,11,GFC,종신,일반종신,2.5
2022,11,금융서비스,건강,순수형,1.0
2022,11,금융서비스,건강,특화형,0.1
2022,11,금융서비스,건강,환급형,0.7
2022,11,금융서비스,연금저축,연금/저축,2.1
2022,11,금융서비스,종신,목적종신,1.5
2022,11,금융서비스,종신,일반종신,0.5
2022,11,디지털,건강,순수형,0.2
2022,11,디지털,건강,특화형,0.0
2022,11,디지털,건강,환급형,0.1
2022,11,디지털,연금저축,연금/저축,5.2
2022,11,디지털,종신,목적종신,0.3
2022,11,디지털,종신,일반종신,0.1
2022,11,신채널,건강,순수형,0.5
2022,11,신채널,건강,특화형,0.1
2022,11,신채널,건강,환급형,0.4
2022,11,신채널,연금저축,연금/저축,1.1
2022,11,신채널,종신,목적종신,0.7
2022,11,신채널,종신,일반종신,0.3
2022,12,AFC,건강,순수형,0.5
2022,12,AFC,건강,특화형,0.1
2022,12,AFC,건강,환급형,0.4
2022,12,AFC,연금저축,연금/저축,1.1
2022,12,AFC,종신,목적종신,0.8
2022,12,AFC,종신,일반종신,0.3
2022,12,BA,건강,순수형,0.0
2022,12,BA,건강,특화형,0.0
2022,12,BA,건강,환급형,0.0
2022,12,BA,연금저축,연금/저축,27.7
2022,12,BA,종신,목적종신,0.0
2022,12,BA,종신,일반종신,0.0
2022,12,FC,건강,순수형,24.2
2022,12,FC,건강,특화형,3.6
2022,12,FC,건강,환급형,17.1
2022,12,FC,연금저축,연금/저축,2.2
2022,12,FC,종신,목적종신,37.5
2022,12,FC,종신,일반종신,13.1
2022,12,GA,건강,순수형,5.2
2022,12,GA,건강,특화형,0.8
2022,12,GA,건강,환급형,3.6
2022,12,GA,연금저축,연금/저축,2.2
2022,12,GA,종신,목적종신,8.0
2022,12,GA,종신,일반종신,2.8
2022,12,GFC,건강,순수형,4.9
2022,12,GFC,건강,특화형,0.7
2022,12,GFC,건강,환급형,3.4
2022,12,GFC,연금저축,연금/저축,2.2
2022,12,GFC,종신,목적종신,7.5
2022,12,GFC,종신,일반종신,2.6
2022,12,금융서비스,건강,순수형,1.0
2022,12,금융서비스,건강,특화형,0.2
2022,12,금융서비스,건강,환급형,0.7
2022,12,금융서비스,연금저축,연금/저축,2.2
2022,12,금융서비스,종신,목적종신,1.6
2022,12,금융서비스,종신,일반종신,0.6
2022,12,디지털,건강,순수형,0.2
2022,12,디지털,건강,특화형,0.0
2022,12,디지털,건강,환급형,0.1
2022,12,디지털,연금저축,연금/저축,5.5
2022,12,디지털,종신,목적종신,0.3
2022,12,디지털,종신,일반종신,0.1
2022,12,신채널,건강,순수형,0.5
2022,12,신채널,건강,특화형,0.0
2022,12,신채널,건강,환급형,0.4
2022,12,신채널,연금저축,연금/저축,1.2
2022,12,신채널,종신,목적종신,0.8
2022,12,신채널,종신,일반종신,0.3
2023,01,AFC,건강,순수형,0.7
2023,01,AFC,건강,특화형,0.1
2023,01,AFC,건강,환급형,0.5
2023,01,AFC,연금저축,연금/저축,1.1
2023,01,AFC,종신,목적종신,1.0
2023,01,AFC,종신,일반종신,0.3
2023,01,BA,건강,순수형,0.0
2023,01,BA,건강,특화형,0.0
2023,01,BA,건강,환급형,0.0
2023,01,BA,연금저축,연금/저축,26.9
2023,01,BA,종신,목적종신,0.0
2023,01,BA,종신,일반종신,0.0
2023,01,FC,건강,순수형,35.1
2023,01,FC,건강,특화형,5.2
2023,01,FC,건강,환급형,24.7
2023,01,FC,연금저축,연금/저축,2.2
2023,01,FC,종신,목적종신,46.1
2023,01,FC,종신,일반종신,16.2
2023,01,GA,건강,순수형,7.5
2023,01,GA,건강,특화형,1.1
2023,01,GA,건강,환급형,5.3
2023,01,GA,연금저축,연금/저축,2.2
2023,01,GA,종신,목적종신,9.9
2023,01,GA,종신,일반종신,3.5
2023,01,GFC,건강,순수형,7.0
2023,01,GFC,건강,특화형,1.0
2023,01,GFC,건강,환급형,4.9
2023,01,GFC,연금저축,연금/저축,2.2
2023,01,GFC,종신,목적종신,9.2
2023,01,GFC,종신,일반종신,3.2
2023,01,금융서비스,건강,순수형,1.5
2023,01,금융서비스,건강,특화형,0.2
2023,01,금융서비스,건강,환급형,1.0
2023,01,금융서비스,연금저축,연금/저축,2.2
2023,01,금융서비스,종신,목적종신,1.9
2023,01,금융서비스,종신,일반종신,0.7
2023,01,디지털,건강,순수형,0.3
2023,01,디지털,건강,특화형,0.0
2023,01,디지털,건강,환급형,0.2
2023,01,디지털,연금저축,연금/저축,5.4
2023,01,디지털,종신,목적종신,0.3
2023,01,디지털,종신,일반종신,0.1
2023,01,신채널,건강,순수형,0.7
2023,01,신채널,건강,특화형,0.2
2023,01,신채널,건강,환급형,0.6
2023,01,신채널,연금저축,연금/저축,0.9
2023,01,신채널,종신,목적종신,1.1
2023,01,신채널,종신,일반종신,0.4
2023,02,AFC,건강,순수형,0.7
2023,02,AFC,건강,특화형,0.1
2023,02,AFC,건강,환급형,0.5
2023,02,AFC,연금저축,연금/저축,1.1
2023,02,AFC,종신,목적종신,1.0
2023,02,AFC,종신,일반종신,0.3
2023,02,BA,건강,순수형,0.0
2023,02,BA,건강,특화형,0.0
2023,02,BA,건강,환급형,0.0
2023,02,BA,연금저축,연금/저축,26.4
2023,02,BA,종신,목적종신,0.0
2023,02,BA,종신,일반종신,0.0
2023,02,FC,건강,순수형,33.0
2023,02,FC,건강,특화형,4.9
2023,02,FC,건강,환급형,23.2
2023,02,FC,연금저축,연금/저축,2.1
2023,02,FC,종신,목적종신,47.1
2023,02,FC,종신,일반종신,16.5
2023,02,GA,건강,순수형,7.1
2023,02,GA,건강,특화형,1.1
2023,02,GA,건강,환급형,5.0
2023,02,GA,연금저축,연금/저축,2.1
2023,02,GA,종신,목적종신,10.1
2023,02,GA,종신,일반종신,3.5
2023,02,GFC,건강,순수형,6.6
2023,02,GFC,건강,특화형,1.0
2023,02,GFC,건강,환급형,4.7
2023,02,GFC,연금저축,연금/저축,2.1
2023,02,GFC,종신,목적종신,9.4
2023,02,GFC,종신,일반종신,3.3
2023,02,금융서비스,건강,순수형,1.4
2023,02,금융서비스,건강,특화형,0.2
2023,02,금융서비스,건강,환급형,1.0
2023,02,금융서비스,연금저축,연금/저축,2.1
2023,02,금융서비스,종신,목적종신,2.0
2023,02,금융서비스,종신,일반종신,0.7
2023,02,디지털,건강,순수형,0.2
2023,02,디지털,건강,특화형,0.0
2023,02,디지털,건강,환급형,0.2
2023,02,디지털,연금저축,연금/저축,5.3
2023,02,디지털,종신,목적종신,0.4
2023,02,디지털,종신,일반종신,0.1
2023,02,신채널,건강,순수형,0.7
2023,02,신채널,건강,특화형,0.1
2023,02,신채널,건강,환급형,0.4
