연도,월,월초,보장월초,건강월초,건강_순수형,건강_환급형,건강_특화형,종신월초,종신_목적종신,종신_일반종신,연금월초,연금_세부,저축_세부,시장전체,M/S,경쟁사보장월초,영업일수,판촉비총량,채널합계검산,상품합계검산,합계차이
2023,11,259.0,211.4,107.8,58.2,41.0,8.6,103.6,76.7,26.9,47.6,38.3,9.3,1151.1,22.5,257.3,22,12.0,259.0,259.0,0.0
2023,12,266.9,217.9,106.8,57.7,40.6,8.5,111.1,82.2,28.9,49.0,39.9,9.1,1253.1,21.3,265.2,23,10.8,266.9,266.9,0.0
2024,01,237.6,198.8,113.3,61.2,43.1,9.0,85.5,63.3,22.2,38.8,31.6,7.2,1056.0,22.5,235.9,21,11.9,237.6,237.6,0.0
2024,02,226.5,189.5,109.0,58.9,41.4,8.7,80.5,59.6,20.9,37.0,30.5,6.5,989.1,22.9,224.8,19,12.3,226.5,226.5,0.0
2024,03,248.9,208.3,120.8,65.2,45.9,9.7,87.5,64.8,22.7,40.6,33.9,6.7,1068.2,23.3,250.3,25,12.7,248.9,248.9,0.0
2024,04,249.9,209.1,122.3,66.0,46.5,9.8,86.8,64.2,22.6,40.8,32.8,8.0,1130.8,22.1,248.2,21,11.5,249.9,249.9,0.0
2024,05,245.5,205.4,121.2,65.4,46.1,9.7,84.2,62.3,21.9,40.1,32.7,7.4,1091.1,22.5,243.8,22,11.9,245.5,245.5,0.0
2024,06,236.8,198.1,112.9,61.0,42.9,9.0,85.2,63.0,22.2,38.7,31.9,6.8,1034.1,22.9,235.1,23,12.3,236.8,236.8,0.0
2024,07,237.2,198.5,114.1,61.6,43.4,9.1,84.4,62.5,21.9,38.7,32.3,6.4,1018.0,23.3,235.5,22,12.7,237.2,237.2,0.0
2024,08,235.1,196.7,114.1,61.6,43.4,9.1,82.6,61.1,21.5,38.4,30.9,7.5,1063.8,22.1,233.4,24,11.5,235.1,235.1,0.0
2024,09,241.2,201.8,118.1,63.8,44.9,9.4,83.7,61.9,21.8,39.4,32.1,7.3,1072.0,22.5,239.5,21,11.9,241.2,241.2,0.0
2024,10,256.4,214.5,126.6,68.4,48.1,10.1,87.9,65.0,22.9,41.9,34.6,7.3,1119.7,22.9,254.7,22,12.3,256.4,256.4,0.0
2024,11,254.7,213.1,121.5,65.6,46.2,9.7,91.6,67.8,23.8,41.6,34.7,6.9,1093.1,23.3,253.0,23,12.7,254.7,254.7,0.0
2024,12,270.1,226.0,130.0,70.2,49.4,10.4,96.0,71.0,25.0,44.1,35.5,8.6,1222.2,22.1,268.4,24,11.5,270.1,270.1,0.0
2025,01,239.2,200.9,121.5,65.6,46.2,9.7,79.4,58.8,20.6,38.3,30.8,7.5,1026.6,23.3,237.5,21,13.0,239.2,239.2,0.0
2025,02,234.4,196.9,120.1,64.9,45.6,9.6,76.8,56.8,20.0,37.5,30.6,6.9,989.0,23.7,232.7,19,13.4,234.4,234.4,0.0
2025,03,250.6,210.5,129.5,69.9,49.2,10.4,81.0,59.9,21.1,40.1,33.1,7.0,1039.8,24.1,248.9,25,13.8,250.6,250.6,0.0
2025,04,258.6,217.2,134.7,72.7,51.2,10.8,82.5,61.0,21.5,41.4,34.6,6.8,1129.3,22.9,256.9,21,12.6,258.6,258.6,0.0
2025,05,247.0,207.5,124.5,67.2,47.3,10.0,83.0,61.4,21.6,39.5,31.8,7.7,1060.1,23.3,245.3,22,13.0,247.0,247.0,0.0
2025,06,245.1,205.9,124.6,67.3,47.3,10.0,81.3,60.2,21.1,39.2,31.9,7.3,1034.2,23.7,243.4,23,13.4,245.1,245.1,0.0
2025,07,245.5,206.2,125.8,67.9,47.8,10.1,80.4,59.5,20.9,39.3,32.4,6.9,1018.7,24.1,243.8,22,13.8,245.5,245.5,0.0
2025,08,236.7,198.8,122.3,66.0,46.5,9.8,76.5,56.6,19.9,37.9,31.6,6.3,1033.6,22.9,235.0,24,12.6,236.7,236.7,0.0
2025,09,249.5,209.6,130.0,70.2,49.4,10.4,79.6,58.9,20.7,39.9,32.1,7.8,1070.8,23.3,247.8,21,13.0,249.5,249.5,0.0
2025,10,258.0,216.7,130.0,70.2,49.4,10.4,86.7,64.2,22.5,41.3,33.7,7.6,1088.6,23.7,256.3,22,13.4,258.0,258.0,0.0
2025,11,263.7,221.5,134.0,72.4,50.9,10.7,87.5,64.8,22.7,42.2,34.8,7.4,1094.2,24.1,265.1,23,13.8,263.7,263.7,0.0
2025,12,271.8,228.3,139.3,75.2,52.9,11.2,89.0,65.9,23.1,43.5,36.3,7.2,1186.9,22.9,270.1,24,12.6,271.8,271.8,0.0
2026,01,250.7,211.4,126.8,68.5,48.2,10.1,84.6,62.6,22.0,39.3,32.8,6.5,1066.8,23.5,249.0,21,13.4,250.7,250.7,0.0
2026,02,239.0,201.5,121.9,65.8,46.3,9.8,79.6,58.9,20.7,37.5,30.2,7.3,1000.0,23.9,237.3,20,13.8,239.0,239.0,0.0
2026,03,262.7,221.5,135.1,73.0,51.3,10.8,86.4,63.9,22.5,41.2,33.6,7.6,1055.0,24.9,261.0,26,14.2,262.7,262.7,0.0
2026,04,263.7,222.3,131.2,70.8,49.9,10.5,91.1,67.4,23.7,41.4,34.2,7.2,1112.7,23.7,262.0,22,13.0,263.7,263.7,0.0
2026,05,259.0,218.4,129.9,70.1,49.4,10.4,88.5,65.5,23.0,40.6,33.9,6.7,1074.7,24.1,257.3,23,13.4,259.0,259.0,0.0
