year,month,month_key,month_open,coverage,health_month_open,health_pure,health_refund,health_special,life_month_open,life_target,life_general,annuity_month_open,annuity_detail,savings_detail,market_total,market_share,competitor_coverage,business_days,promo_cost_total,channel_check,product_check,gap
2023,1,2023-01,234.8,191.7,97.8,52.8,37.2,7.8,93.9,69.5,24.4,43.1,35.6,7.5,1082,21.7,233.1,20,11.2,234.8,234.8,0
2023,2,2023-02,230.3,188,92.1,49.7,35,7.4,95.9,71,24.9,42.3,35.3,7,1042.1,22.1,228.6,18,11.6,230.3,230.3,0
2023,3,2023-03,246.1,200.9,99.4,53.7,37.8,7.9,101.5,75.1,26.4,45.2,36.4,8.8,1093.8,22.5,244.4,24,12,246.1,246.1,0
2023,4,2023-04,254.1,207.4,103.7,56,39.4,8.3,103.7,76.7,27,46.7,38.1,8.6,1193,21.3,252.4,20,10.8,254.1,254.1,0
2023,5,2023-05,242.7,198.1,100,54,38,8,98.1,72.6,25.5,44.6,36.8,7.8,1118.4,21.7,241,21,11.2,242.7,242.7,0
2023,6,2023-06,240.7,196.5,100.2,54.1,38.1,8,96.3,71.3,25,44.2,36.9,7.3,1089.1,22.1,239,22,11.6,240.7,240.7,0
2023,7,2023-07,234.5,191.4,93.8,50.7,35.6,7.5,97.6,72.2,25.4,43.1,34.7,8.4,1042.2,22.5,232.8,21,12,234.5,234.5,0
2023,8,2023-08,232.4,189.7,93.9,50.7,35.7,7.5,95.8,70.9,24.9,42.7,34.8,7.9,1091.1,21.3,230.7,23,10.8,232.4,232.4,0
2023,9,2023-09,245.1,200.1,100.1,54.1,38,8,100,74,26,45,37.1,7.9,1129.5,21.7,243.4,20,11.2,245.1,245.1,0
2023,10,2023-10,253.4,206.9,104.5,56.4,39.7,8.4,102.4,75.8,26.6,46.5,38.8,7.7,1146.6,22.1,251.7,21,11.6,253.4,253.4,0
2023,11,2023-11,259,211.4,107.8,58.2,41,8.6,103.6,76.7,26.9,47.6,38.3,9.3,1151.1,22.5,257.3,22,12,259,259,0
2023,12,2023-12,266.9,217.9,106.8,57.7,40.6,8.5,111.1,82.2,28.9,49,39.9,9.1,1253.1,21.3,265.2,23,10.8,266.9,266.9,0
2024,1,2024-01,237.6,198.8,113.3,61.2,43.1,9,85.5,63.3,22.2,38.8,31.6,7.2,1056,22.5,235.9,21,11.9,237.6,237.6,0
2024,2,2024-02,226.5,189.5,109,58.9,41.4,8.7,80.5,59.6,20.9,37,30.5,6.5,989.1,22.9,224.8,19,12.3,226.5,226.5,0
2024,3,2024-03,248.9,208.3,120.8,65.2,45.9,9.7,87.5,64.8,22.7,40.6,33.9,6.7,1068.2,23.3,250.3,25,12.7,248.9,248.9,0
2024,4,2024-04,249.9,209.1,122.3,66,46.5,9.8,86.8,64.2,22.6,40.8,32.8,8,1130.8,22.1,248.2,21,11.5,249.9,249.9,0
2024,5,2024-05,245.5,205.4,121.2,65.4,46.1,9.7,84.2,62.3,21.9,40.1,32.7,7.4,1091.1,22.5,243.8,22,11.9,245.5,245.5,0
2024,6,2024-06,236.8,198.1,112.9,61,42.9,9,85.2,63,22.2,38.7,31.9,6.8,1034.1,22.9,235.1,23,12.3,236.8,236.8,0
2024,7,2024-07,237.2,198.5,114.1,61.6,43.4,9.1,84.4,62.5,21.9,38.7,32.3,6.4,1018,23.3,235.5,22,12.7,237.2,237.2,0
2024,8,2024-08,235.1,196.7,114.1,61.6,43.4,9.1,82.6,61.1,21.5,38.4,30.9,7.5,1063.8,22.1,233.4,24,11.5,235.1,235.1,0
2024,9,2024-09,241.2,201.8,118.1,63.8,44.9,9.4,83.7,61.9,21.8,39.4,32.1,7.3,1072,22.5,239.5,21,11.9,241.2,241.2,0
2024,10,2024-10,256.4,214.5,126.6,68.4,48.1,10.1,87.9,65,22.9,41.9,34.6,7.3,1119.7,22.9,254.7,22,12.3,256.4,256.4,0
2024,11,2024-11,254.7,213.1,121.5,65.6,46.2,9.7,91.6,67.8,23.8,41.6,34.7,6.9,1093.1,23.3,253,23,12.7,254.7,254.7,0
2024,12,2024-12,270.1,226,130,70.2,49.4,10.4,96,71,25,44.1,35.5,8.6,1222.2,22.1,268.4,24,11.5,270.1,270.1,0
2025,1,2025-01,239.2,200.9,121.5,65.6,46.2,9.7,79.4,58.8,20.6,38.3,30.8,7.5,1026.6,23.3,237.5,21,13,239.2,239.2,0
2025,2,2025-02,234.4,196.9,120.1,64.9,45.6,9.6,76.8,56.8,20,37.5,30.6,6.9,989,23.7,232.7,19,13.4,234.4,234.4,0
2025,3,2025-03,250.6,210.5,129.5,69.9,49.2,10.4,81,59.9,21.1,40.1,33.1,7,1039.8,24.1,248.9,25,13.8,250.6,250.6,0
2025,4,2025-04,258.6,217.2,134.7,72.7,51.2,10.8,82.5,61,21.5,41.4,34.6,6.8,1129.3,22.9,256.9,21,12.6,258.6,258.6,0
2025,5,2025-05,247,207.5,124.5,67.2,47.3,10,83,61.4,21.6,39.5,31.8,7.7,1060.1,23.3,245.3,22,13,247,247,0
2025,6,2025-06,245.1,205.9,124.6,67.3,47.3,10,81.3,60.2,21.1,39.2,31.9,7.3,1034.2,23.7,243.4,23,13.4,245.1,245.1,0
2025,7,2025-07,245.5,206.2,125.8,67.9,47.8,10.1,80.4,59.5,20.9,39.3,32.4,6.9,1018.7,24.1,243.8,22,13.8,245.5,245.5,0
2025,8,2025-08,236.7,198.8,122.3,66,46.5,9.8,76.5,56.6,19.9,37.9,31.6,6.3,1033.6,22.9,235,24,12.6,236.7,236.7,0
2025,9,2025-09,249.5,209.6,130,70.2,49.4,10.4,79.6,58.9,20.7,39.9,32.1,7.8,1070.8,23.3,247.8,21,13,249.5,249.5,0
2025,10,2025-10,258,216.7,130,70.2,49.4,10.4,86.7,64.2,22.5,41.3,33.7,7.6,1088.6,23.7,256.3,22,13.4,258,258,0
2025,11,2025-11,263.7,221.5,134,72.4,50.9,10.7,87.5,64.8,22.7,42.2,34.8,7.4,1094.2,24.1,265.1,23,13.8,263.7,263.7,0
2025,12,2025-12,271.8,228.3,139.3,75.2,52.9,11.2,89,65.9,23.1,43.5,36.3,7.2,1186.9,22.9,270.1,24,12.6,271.8,271.8,0
2026,1,2026-01,250.7,211.4,126.8,68.5,48.2,10.1,84.6,62.6,22,39.3,32.8,6.5,1066.8,23.5,249,21,13.4,250.7,250.7,0
2026,2,2026-02,239,201.5,121.9,65.8,46.3,9.8,79.6,58.9,20.7,37.5,30.2,7.3,1000,23.9,237.3,20,13.8,239,239,0
2026,3,2026-03,262.7,221.5,135.1,73,51.3,10.8,86.4,63.9,22.5,41.2,33.6,7.6,1055,24.9,261,26,14.2,262.7,262.7,0
2026,4,2026-04,263.7,222.3,131.2,70.8,49.9,10.5,91.1,67.4,23.7,41.4,34.2,7.2,1112.7,23.7,262,22,13,263.7,263.7,0
2026,5,2026-05,259,218.4,129.9,70.1,49.4,10.4,88.5,65.5,23,40.6,33.9,6.7,1074.7,24.1,257.3,23,13.4,259,259,0
